585	R0010W	2micron	+	251	1523	251	1523	1	251,	1523,	n/a
585	R0020C	2micron	-	1886	3008	1886	3008	1	1886,	3008,	n/a
585	R0030W	2micron	+	3270	3816	3270	3816	1	3270,	3816,	n/a
585	R0040C	2micron	-	5307	6198	5307	6198	1	5307,	6198,	n/a
585	YAL069W	chrI	+	334	649	334	649	1	334,	649,	n/a
585	YAL068W-A	chrI	+	537	792	537	792	1	537,	792,	n/a
585	YAL068C	chrI	-	1806	2169	1806	2169	1	1806,	2169,	P53055
585	YAL067W-A	chrI	+	2479	2707	2479	2707	1	2479,	2707,	Q8TGK6
585	YAL067C	chrI	-	7235	9017	7235	9017	1	7235,	9017,	P39709
585	YAL066W	chrI	+	10091	10400	10091	10400	1	10091,	10400,	n/a
585	YAL065C	chrI	-	11565	11952	11565	11952	1	11565,	11952,	O13511
585	YAL064W-B	chrI	+	12046	12427	12046	12427	1	12046,	12427,	O13512
585	YAL064C-A	chrI	-	13363	13744	13363	13744	1	13363,	13744,	Q6B2U8
585	YAL064W	chrI	+	21525	21852	21525	21852	1	21525,	21852,	P39711
585	YAL063C-A	chrI	-	22396	22687	22396	22687	1	22396,	22687,	Q3E791
585	YAL063C	chrI	-	24000	27969	24000	27969	1	24000,	27969,	P39712
585	YAL062W	chrI	+	31567	32941	31567	32941	1	31567,	32941,	P39708
585	YAL061W	chrI	+	33448	34702	33448	34702	1	33448,	34702,	P39713
585	YAL060W	chrI	+	35155	36304	35155	36304	1	35155,	36304,	P39714
585	YAL059C-A	chrI	-	36496	36919	36496	36919	1	36496,	36919,	n/a
585	YAL059W	chrI	+	36509	37148	36509	37148	1	36509,	37148,	P39715
585	YAL058W	chrI	+	37464	38973	37464	38973	1	37464,	38973,	P27825
585	YAL056C-A	chrI	-	38696	39047	38696	39047	1	38696,	39047,	n/a
585	YAL056W	chrI	+	39259	41902	39259	41902	1	39259,	41902,	P39717
585	YAL055W	chrI	+	42177	42720	42177	42720	1	42177,	42720,	P39718
585	YAL054C	chrI	-	42881	45023	42881	45023	1	42881,	45023,	Q01574
585	YAL053W	chrI	+	45899	48251	45899	48251	1	45899,	48251,	P39719
585	YAL051W	chrI	+	48564	51708	48564	51708	1	48564,	51708,	P39720
585	YAL049C	chrI	-	51855	52596	51855	52596	1	51855,	52596,	P39721
585	YAL048C	chrI	-	52801	54790	52801	54790	1	52801,	54790,	P39722
585	YAL047W-A	chrI	+	54584	54914	54584	54914	1	54584,	54914,	n/a
585	YAL047C	chrI	-	54989	56858	54989	56858	1	54989,	56858,	P39723
585	YAL046C	chrI	-	57029	57386	57029	57386	1	57029,	57386,	P39724
585	YAL045C	chrI	-	57488	57797	57488	57797	1	57488,	57797,	n/a
585	YAL044W-A	chrI	+	57518	57851	57518	57851	1	57518,	57851,	Q3E793
585	YAL044C	chrI	-	57950	58463	57950	58463	1	57950,	58463,	P39726
585	YAL043C	chrI	-	58695	61053	58695	61053	1	58695,	61053,	Q01329
585	YAL042C-A	chrI	-	61231	61609	61231	61609	1	61231,	61609,	n/a
585	YAL042W	chrI	+	61316	62564	61316	62564	1	61316,	62564,	P39727
585	YAL041W	chrI	+	62840	65405	62840	65405	1	62840,	65405,	P11433
585	YAL040C	chrI	-	65778	67521	65778	67521	1	65778,	67521,	P13365
585	YAL039C	chrI	-	68716	69526	68716	69526	1	68716,	69526,	P06182
585	YAL038W	chrI	+	71786	73289	71786	73289	1	71786,	73289,	P00549
585	YAL037C-B	chrI	-	72326	73301	72326	73301	1	72326,	73301,	n/a
585	YAL037C-A	chrI	-	73426	73519	73426	73519	1	73426,	73519,	Q3E741
